pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
FF,2015-10-09,97.9,-1.3088,5.5899,Jacob deGrom,408307,594798,NA,ball,NA,NA,NA,NA,11,NA,D,L,R,LAD,NYM,B,NA,NA,0,0,2015,-0.7381583333333334,1.1144666666666667,-1.572,3.591,NA,NA,NA,0,1,Bot,NA,NA,NA,NA,518595,NA,151009_190257,-0.074,-142.502,-2.464,-8.927,34.434,-19.045,3.69,1.91,NA,NA,NA,98.444,2200,6.849,446244,446263,502517,431151,514913,150212,493316,434158,53.6489,NA,NA,NA,NA,NA,NA,NA,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,1,2015,Postseason,0,0
FT,2015-10-09,97.4,-1.1604,5.6699,Jacob deGrom,408307,594798,NA,foul,NA,NA,NA,NA,5,NA,D,L,R,LAD,NYM,S,NA,NA,1,0,2015,-1.2753416666666666,1.1144666666666667,0.168,2.593,NA,NA,NA,0,1,Bot,NA,NA,NA,NA,518595,NA,151009_190310,5.885,-141.625,-4.8,-16.788,31.102,-19.096,3.73,1.8,NA,NA,NA,98.228,2164,6.894,446244,446263,502517,431151,514913,150212,493316,434158,53.6043,NA,NA,NA,NA,NA,NA,NA,5,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,2,2015,Postseason,0,0
FF,2015-10-09,97.5,-1.2122,5.6765,Jacob deGrom,408307,594798,NA,ball,NA,NA,NA,NA,11,NA,D,L,R,LAD,NYM,B,NA,NA,1,1,2015,-0.668575,1.1015666666666666,-0.573,4.771,NA,NA,NA,0,1,Bot,NA,NA,NA,NA,518595,NA,151009_190325,2.393,-141.878,1.054,-7.885,32.779,-19.285,3.65,1.68,NA,NA,NA,98.446,2406,6.946,446244,446263,502517,431151,514913,150212,493316,434158,53.552,NA,NA,NA,NA,NA,NA,NA,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,3,2015,Postseason,0,0
FT,2015-10-09,97.7,-1.2009,5.6128,Jacob deGrom,408307,594798,NA,foul,NA,NA,NA,NA,11,NA,D,L,R,LAD,NYM,S,NA,NA,2,1,2015,-1.127825,0.9467666666666666,-0.921,3.293,NA,NA,NA,0,1,Bot,NA,NA,NA,NA,518595,NA,151009_190338,2.638,-142.167,-2.537,-14.718,31.683,-21.404,3.73,1.8,NA,NA,NA,98.225,2207,6.708,446244,446263,502517,431151,514913,150212,493316,434158,53.7896,NA,NA,NA,NA,NA,NA,NA,5,4,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,4,2015,Postseason,0,0
FF,2015-10-09,98.8,-1.1413,5.6702,Jacob deGrom,408307,594798,strikeout,swinging_strike,NA,NA,NA,NA,11,Carl Crawford strikes out swinging.,D,L,R,LAD,NYM,S,2,NA,2,2,2015,-0.5085333333333333,1.2520666666666667,-0.097,4.429,NA,NA,NA,0,1,Bot,NA,NA,NA,NA,518595,NA,151009_190356,2.721,-143.82,-0.511,-5.669,34.672,-16.795,3.73,1.8,NA,NA,NA,98.956,2439,6.576,446244,446263,502517,431151,514913,150212,493316,434158,53.9219,NA,NA,0,1,0,0,NA,5,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,5,2015,Postseason,0,0
FF,2015-10-09,98.1,-1.1983,5.5591,Jacob deGrom,435062,594798,NA,foul,NA,NA,NA,NA,4,NA,D,R,R,LAD,NYM,S,NA,NA,0,0,2015,-0.68945,1.5172333333333332,-0.302,2.722,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190427,3.118,-142.687,-5.637,-8.34,30.566,-13.012,3.38,1.44,NA,NA,NA,98.612,2437,6.57,446244,446263,502517,431151,514913,150212,493316,434158,53.9276,NA,NA,NA,NA,NA,NA,NA,6,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,6,2015,Postseason,0,0
FF,2015-10-09,97.7,-1.1293,5.5418,Jacob deGrom,435062,594798,NA,swinging_strike,NA,NA,NA,NA,6,NA,D,R,R,LAD,NYM,S,NA,NA,0,1,2015,-0.5711583333333333,1.4527333333333332,0.7,2.674,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190445,5.323,-142.1,-5.309,-6.449,34.121,-14.319,3.38,1.44,NA,NA,NA,98.365,2301,6.928,446244,446263,502517,431151,514913,150212,493316,434158,53.5698,NA,NA,NA,NA,NA,NA,NA,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,7,2015,Postseason,0,0
FF,2015-10-09,99,-1.1522,5.3782,Jacob deGrom,435062,594798,NA,foul,NA,NA,NA,NA,3,NA,D,R,R,LAD,NYM,S,NA,NA,0,2,2015,-0.6922333333333334,1.3022333333333334,0.575,3.484,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190501,5.543,-144.008,-2.863,-8.429,35.103,-16.036,3.38,1.44,NA,NA,NA,99.852,2364,7.074,446244,446263,502517,431151,514913,150212,493316,434158,53.4236,NA,NA,NA,NA,NA,NA,NA,6,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,8,2015,Postseason,0,0
SL,2015-10-09,93.6,-1.2409,5.5852,Jacob deGrom,435062,594798,NA,foul,NA,NA,NA,NA,6,NA,D,R,R,LAD,NYM,S,NA,NA,0,2,2015,-0.042325,0.3777333333333333,0.58,2.563,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,151009_190521,3.705,-136.184,-2.25,1.194,25.592,-29.727,3.38,1.44,NA,NA,NA,94.569,2612,6.688,446244,446263,502517,431151,514913,150212,493316,434158,53.8103,NA,NA,NA,NA,NA,NA,NA,6,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,9,2015,Postseason,0,0
FT,2015-10-09,98.5,-1.1,5.495,Jacob deGrom,435062,594798,single,hit_into_play_no_out,NA,NA,NA,NA,3,Howie Kendrick singles on a line drive to right fielder Curtis Granderson.,D,R,R,LAD,NYM,X,NA,line_drive,0,2,2015,-1.0707666666666666,0.9568,0.277,3.035,NA,NA,NA,1,1,Bot,178.96,100.88,NA,NA,518595,NA,151009_190541,5.246,-143.285,-3.138,-14.097,32.089,-21.08,3.38,1.44,228,94.7,11.182,98.856,2281,6.615,446244,446263,502517,431151,514913,150212,493316,434158,53.8829,0.92,0.897,0.9,1,1,0,4,6,5,2-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,10,2015,Postseason,0,0
