pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
FF,2015-04-08,94.9,-1.7576,6.0689,Jacob deGrom,572191,594798,NA,called_strike,NA,NA,NA,NA,11,NA,R,R,R,WSH,NYM,S,NA,NA,0,0,2015,-0.5920333333333333,1.5530666666666666,-1.069,2.763,NA,NA,NA,0,1,Bot,NA,NA,NA,NA,518595,NA,150408_200951,1.826,-137.997,-5.287,-6.27,36.421,-14.258,3.14,1.43,NA,NA,NA,94.842,2285,6.554,413679,446263,502517,431151,527038,150212,501571,434158,53.9476,NA,NA,NA,NA,NA,NA,NA,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,1,2015,Regular,0,0
FF,2015-04-08,95.2,-1.8043,6.0858,Jacob deGrom,572191,594798,NA,foul,NA,NA,NA,NA,8,NA,R,R,R,WSH,NYM,S,NA,NA,0,1,2015,-1.1041666666666667,1.5688333333333333,-0.003,1.816,NA,NA,NA,0,1,Bot,NA,NA,NA,NA,518595,NA,150408_201006,5.911,-138.268,-7.695,-13.435,33.178,-13.768,3.33,1.43,7,54.7,-28.028,95.777,2151,7.048,413679,446263,502517,431151,527038,150212,501571,434158,53.4529,NA,NA,NA,NA,NA,NA,NA,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,2,2015,Regular,0,0
FT,2015-04-08,95.3,NA,NA,Jacob deGrom,572191,594798,field_out,hit_into_play,NA,NA,NA,NA,13,"Michael Taylor grounds out, third baseman David Wright to first baseman Lucas Duda.",R,R,R,WSH,NYM,X,5,ground_ball,0,2,2015,-1.3157,1.2105,-1.564,2.123,NA,NA,NA,0,1,Bot,114.81,169.6,NA,NA,NA,NA,150408_201025,2.479,-138.52,-6.356,-16.368,34.348,-18.558,3.33,1.43,NA,83,-21,NA,NA,NA,413679,NA,NA,NA,NA,NA,NA,NA,NA,0.076,0.072,0,1,0,0,2,4,3,2-Seam Fastball,0,0,0,0,0,0,0,0,NA,NA,3,2015,Regular,0,0
FF,2015-04-08,95.8,-1.6343,6.1682,Jacob deGrom,488862,594798,NA,swinging_strike,NA,NA,NA,NA,3,NA,R,R,R,WSH,NYM,S,NA,NA,0,0,2015,-0.727025,1.5043333333333333,0.299,3.192,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,150408_201104,5.45,-139.298,-4.42,-8.397,32.581,-14.308,3.31,1.52,NA,NA,NA,96.214,2197,6.812,413679,446263,502517,431151,527038,150212,501571,434158,53.6895,NA,NA,NA,NA,NA,NA,NA,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,4,2015,Regular,0,0
SL,2015-04-08,91.1,-1.8849,6.0126,Jacob deGrom,488862,594798,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,WSH,NYM,B,NA,NA,0,1,2015,-0.059025,0.7891,1.345,1.502,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,150408_201121,6.756,-132.368,-5.683,0.896,33.37,-24.954,3.17,1.4,NA,NA,NA,90.63,2356,6.722,413679,446263,502517,431151,527038,150212,501571,434158,53.7794,NA,NA,NA,NA,NA,NA,NA,5,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,5,2015,Regular,0,0
FF,2015-04-08,95.6,-1.6934,6.1727,Jacob deGrom,488862,594798,NA,foul,NA,NA,NA,NA,5,NA,R,R,R,WSH,NYM,S,NA,NA,1,1,2015,-0.593425,1.3079666666666667,-0.239,2.555,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,150408_201136,3.907,-139.077,-5.43,-6.405,36.258,-17.229,3.31,1.52,279,88.4,47.874,95.393,2067,6.751,413679,446263,502517,431151,527038,150212,501571,434158,53.7497,NA,NA,NA,NA,NA,NA,NA,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,6,2015,Regular,0,0
FF,2015-04-08,95.7,-1.6658,6.0779,Jacob deGrom,488862,594798,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,WSH,NYM,B,NA,NA,1,2,2015,-0.7005833333333333,1.4541666666666666,-0.023,4.223,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,150408_201207,4.745,-139.175,-1.453,-7.88,37.44,-15.295,3.31,1.41,NA,NA,NA,95.252,2201,6.682,413679,446263,502517,431151,527038,150212,501571,434158,53.8197,NA,NA,NA,NA,NA,NA,NA,5,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,7,2015,Regular,0,0
SL,2015-04-08,89.4,-1.8676,6.0547,Jacob deGrom,488862,594798,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,WSH,NYM,B,NA,NA,2,2,2015,-0.18705833333333333,1.0026666666666666,1.051,1.079,NA,NA,NA,1,1,Bot,NA,NA,NA,NA,518595,NA,150408_201222,6.223,-129.873,-7.258,-0.693,31.632,-22.706,3.25,1.52,NA,NA,NA,89.079,2423,6.803,413679,446263,502517,431151,527038,150212,501571,434158,53.6984,NA,NA,NA,NA,NA,NA,NA,5,5,Slider,0,0,0,0,0,0,0,0,Standard,Strategic,8,2015,Regular,0,0
FT,2015-04-08,94.9,-1.7306,6.056,Jacob deGrom,488862,594798,single,hit_into_play_no_out,NA,NA,NA,NA,7,Yunel Escobar singles on a ground ball to left fielder Michael Cuddyer.,R,R,R,WSH,NYM,X,NA,ground_ball,3,2,2015,-1.2141083333333333,1.1302333333333334,-0.58,1.864,NA,NA,NA,1,1,Bot,90.52,102.36,NA,NA,518595,NA,150408_201238,4.545,-137.993,-6.628,-14.881,33.211,-19.695,3.31,1.52,10,94.5,-15.839,95.551,2135,7.115,413679,446263,502517,431151,527038,150212,501571,434158,53.3857,0.151,0.132,0.9,1,1,0,2,5,6,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,9,2015,Regular,0,0
CU,2015-04-08,82.9,-1.8239,6.2716,Jacob deGrom,547180,594798,NA,ball,NA,NA,NA,NA,14,NA,R,L,R,WSH,NYM,B,NA,NA,0,0,2015,0.2972416666666667,0.13263333333333333,1.002,1.547,NA,NA,488862,1,1,Bot,NA,NA,NA,NA,518595,NA,150408_201325,4.512,-120.626,-3.244,4.524,23.75,-32.785,3.14,1.34,NA,NA,NA,82.728,NA,6.397,413679,446263,502517,431151,527038,150212,501571,434158,54.104,NA,NA,NA,NA,NA,NA,NA,6,1,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,10,2015,Regular,1,0
