pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
FT,2017-04-05,95.3,-1.4147,5.2888,Jacob deGrom,NA,594798,NA,called_strike,NA,NA,NA,NA,2,NA,R,L,R,NYM,ATL,S,NA,NA,0,0,2017,-1.7161,1.0188,-0.082,2.7491,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,170405_231033,7.5938,-138.649,-3.3426,-24.4152,36.4105,-18.1908,3.16,1.39,NA,NA,NA,96.032,2320,7.121,490120,446263,435522,408314,452678,493316,434158,457803,53.3784,NA,NA,NA,NA,NA,NA,NA,1,1,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,1,2017,Regular,0,0
FT,2017-04-05,96.1,-1.466,5.3552,Jacob deGrom,NA,594798,NA,ball,NA,NA,NA,NA,11,NA,R,L,R,NYM,ATL,B,NA,NA,0,1,2017,-1.4651,1.6093,-1.5301,3.1843,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,170405_231050,3.2678,-139.9099,-3.8398,-20.2141,37.3891,-10.1227,3.16,1.39,NA,NA,NA,96.509,2399,6.919,490120,446263,435522,408314,452678,493316,434158,457803,53.5804,NA,NA,NA,NA,NA,NA,NA,1,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,2,2017,Regular,0,0
FT,2017-04-05,95.5,-1.3334,5.3248,Jacob deGrom,NA,594798,NA,foul,NA,NA,NA,NA,8,NA,R,L,R,NYM,ATL,S,NA,NA,1,1,2017,-1.307,1.1778,-0.0451,1.7809,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,170405_231106,6.4731,-138.9205,-6.4412,-18.7148,33.3084,-15.3619,3.16,1.39,NA,NA,NA,96.284,2371,6.917,490120,446263,435522,408314,452678,493316,434158,457803,53.5825,NA,NA,NA,NA,NA,NA,NA,1,3,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,3,2017,Regular,0,0
SL,2017-04-05,90.3,-1.5327,5.3155,Jacob deGrom,NA,594798,NA,foul,NA,NA,NA,NA,4,NA,R,L,R,NYM,ATL,S,NA,NA,1,2,2017,-0.2409,0.7062,-0.4257,2.2552,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,170405_231128,3.3015,-131.6355,-3.251,-3.5142,27.0458,-23.3855,3.16,1.39,NA,NA,NA,91.173,2651,6.648,490120,446263,435522,408314,452678,493316,434158,457803,53.8515,NA,NA,NA,NA,NA,NA,NA,1,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,4,2017,Regular,0,0
FT,2017-04-05,97.7,-1.3386,5.2893,Jacob deGrom,NA,594798,NA,foul,NA,NA,NA,NA,7,NA,R,L,R,NYM,ATL,S,NA,NA,1,2,2017,-1.7101,0.8663,-0.5655,1.4115,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,170405_231151,6.1609,-142.0963,-7.0067,-24.9595,34.6411,-18.7837,3.16,1.39,182,74.6,29.3487,98.405,2448,6.858,490120,446263,435522,408314,452678,493316,434158,457803,53.6419,NA,NA,NA,NA,NA,NA,NA,1,5,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,5,2017,Regular,0,0
FF,2017-04-05,96.1,-1.4178,5.3507,Jacob deGrom,542255,594798,strikeout,foul_tip,NA,NA,NA,NA,3,Ender Inciarte strikes out on a foul tip.,R,L,R,NYM,ATL,S,2,NA,1,2,2017,-0.85,1.4799,0.6169,2.9335,NA,NA,NA,0,1,Top,NA,NA,NA,NA,518595,NA,170405_231216,7.4362,-139.846,-4.2467,-13.0747,33.2335,-11.6737,3.16,1.39,NA,NA,NA,96.915,2563,6.874,490120,446263,435522,408314,452678,493316,434158,457803,53.6261,NA,NA,0,1,0,0,NA,1,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,6,2017,Regular,0,0
FF,2017-04-05,96,-1.2088,5.3303,Jacob deGrom,NA,594798,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,NYM,ATL,B,NA,NA,0,0,2017,-0.6685,1.4754,0.5681,1.4277,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,170405_231255,6.32,-139.5486,-8.1864,-10.3822,33.4022,-10.8365,3.58,1.66,NA,NA,NA,96.784,2493,6.938,490120,446263,435522,408314,452678,493316,434158,457803,53.5612,NA,NA,NA,NA,NA,NA,NA,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,7,2017,Regular,0,0
SL,2017-04-05,88.8,-1.3435,5.3075,Jacob deGrom,NA,594798,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,NYM,ATL,B,NA,NA,1,0,2017,0.3782,0.0611,1.059,1.58,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,170405_231312,5.1216,-129.28,-3.2389,3.24,26.6741,-31.0058,3.58,1.66,NA,NA,NA,89.563,882,6.71,490120,446263,435522,408314,452678,493316,434158,457803,53.7895,NA,NA,NA,NA,NA,NA,NA,2,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,8,2017,Regular,0,0
FT,2017-04-05,95.2,-1.2004,5.3492,Jacob deGrom,NA,594798,NA,called_strike,NA,NA,NA,NA,8,NA,R,R,R,NYM,ATL,S,NA,NA,2,0,2017,-1.5543,1.3425,0.1191,2.2553,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,170405_231330,7.0685,-138.3914,-5.52,-21.8479,33.7305,-13.6565,3.58,1.66,NA,NA,NA,95.593,2411,6.781,490120,446263,435522,408314,452678,493316,434158,457803,53.7183,NA,NA,NA,NA,NA,NA,NA,2,3,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,9,2017,Regular,0,0
FT,2017-04-05,95.4,-1.2634,5.3341,Jacob deGrom,NA,594798,NA,called_strike,NA,NA,NA,NA,6,NA,R,R,R,NYM,ATL,S,NA,NA,2,1,2017,-1.3674,1.0406,0.6757,2.48,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,170405_231349,8.3302,-138.7325,-4.2807,-19.8753,32.053,-17.7163,3.58,1.66,NA,NA,NA,96.28,2391,6.903,490120,446263,435522,408314,452678,493316,434158,457803,53.5962,NA,NA,NA,NA,NA,NA,NA,2,4,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,10,2017,Regular,0,0
SL,2017-04-05,89.5,-1.5114,5.352,Jacob deGrom,NA,594798,NA,ball,NA,NA,NA,NA,7,NA,R,R,R,NYM,ATL,B,NA,NA,2,2,2017,0.0757,0.2327,-0.6511,1.566,NA,NA,NA,1,1,Top,NA,NA,NA,NA,518595,NA,170405_231410,1.9749,-130.4285,-3.8674,0.4498,27.7588,-28.8831,3.58,1.66,NA,NA,NA,90.056,2549,6.576,490120,446263,435522,408314,452678,493316,434158,457803,53.9234,NA,NA,NA,NA,NA,NA,NA,2,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,11,2017,Regular,0,0
