"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2015-10-28","96.0","-0.5407","5.6188","Jacob deGrom",521692,594798,"field_out","hit_into_play",,,,,"4","Salvador Perez grounds out sharply, third baseman David Wright to first baseman Lucas Duda.","W","R","R","KC","NYM","X",5,"ground_ball",0,2,2015,"-1.16540000000000000000","1.5229666666666667","-0.3830","2.8230","434778.00","null","519058.00",2,5,"Bot","106.60","174.97",,,518595,,"151028_205416","3.0050","-139.7080","-4.4600","-14.5860","33.8610","-14.0120","3.5700","1.6000","49","95.5","0.2390","95.8520","2335","6.5870",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.9125","0.439","0.421","0.00",1,0,0,2,43,"3","4-Seam Fastball",4,1,4,1,1,4,4,1,"Standard","Standard"
"FT","2015-10-28","95.6","-0.5700","5.3538","Jacob deGrom",521692,594798,"null","foul",,,,,"5","null","W","R","R","KC","NYM","S","null","null",0,1,2015,"-1.2669916666666667","1.5831666666666667","0.2280","2.8730","434778.00","null","519058.00",2,5,"Bot","null","null",,,518595,,"151028_205350","4.7090","-138.9830","-4.5360","-15.8720","33.2620","-13.3660","3.5700","1.6000","null","null","null","94.9430","2232","6.4180",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.0821","null","null","null","null","null","null","null",43,"2","2-Seam Fastball",4,1,4,1,1,4,4,1,"Standard","Standard"
"FF","2015-10-28","96.4","-0.5741","5.7449","Jacob deGrom",521692,594798,"null","foul",,,,,"9","null","W","R","R","KC","NYM","S","null","null",0,0,2015,"-1.10834166666666666667","1.8024666666666667","0.5210","2.0460","434778.00","null","519058.00",2,5,"Bot","null","null",,,518595,,"151028_205322","5.1420","-140.1220","-7.4480","-13.7730","35.8000","-10.1780","3.5700","1.6000","null","null","null","95.4240","2366","6.3740",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.1258","null","null","null","null","null","null","null",43,"1","4-Seam Fastball",4,1,4,1,1,4,4,1,"Standard","Standard"
"CU","2015-10-28","83.7","-0.7422","5.7129","Jacob deGrom",519058,594798,"single","hit_into_play_score",,,,,"4","Mike Moustakas singles on a ground ball to right fielder Curtis Granderson.   Eric Hosmer scores.    Kendrys Morales to 3rd.","W","L","R","KC","NYM","X","null","ground_ball",3,2,2015,"0.38491666666666666667","-0.05656666666666666667","-0.5550","2.8750","543333.00","null","434778.00",2,5,"Bot","163.96","112.41",,,518595,,"151028_205222","-0.5230","-121.8410","0.5210","5.6770","19.5740","-34.8490","3.4900","1.5900","25","107.1","-6.9910","83.4980","773","6.0140",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.4861","0.427","0.391","0.90",1,1,0,2,42,"8","Curveball",3,1,3,1,1,3,3,1,"Strategic","Standard"
"FF","2015-10-28","96.1","-0.5262","5.7195","Jacob deGrom",519058,594798,"null","foul",,,,,"9","null","W","L","R","KC","NYM","S","null","null",3,2,2015,"-0.41390000000000000000","1.7035666666666667","0.4290","1.9450","543333.00","null","434778.00",2,5,"Bot","null","null",,,518595,,"151028_205148","3.0890","-139.6540","-7.4010","-4.0070","32.6170","-11.4590","3.4900","1.5900","null","null","null","95.9560","2338","6.5810",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.9191","null","null","null","null","null","null","null",42,"7","4-Seam Fastball",3,1,3,1,1,3,3,1,"Strategic","Standard"
"FF","2015-10-28","96.8","-0.5926","5.7216","Jacob deGrom",519058,594798,"null","foul",,,,,"11","null","W","L","R","KC","NYM","S","null","null",3,2,2015,"-0.94134166666666666667","1.4455666666666667","-0.7840","4.1610","543333.00","null","434778.00",2,5,"Bot","null","null",,,518595,,"151028_205113","1.5760","-140.9510","-1.0980","-11.6470","34.2960","-14.7480","3.4900","1.5900","308","83.5","32.6040","96.1310","2351","6.3220",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.1783","null","null","null","null","null","null","null",42,"6","4-Seam Fastball",3,1,3,1,1,3,3,1,"Strategic","Standard"
"FF","2015-10-28","95.5","-0.4697","5.9467","Jacob deGrom",519058,594798,"null","foul",,,,,"3","null","W","L","R","KC","NYM","S","null","null",3,1,2015,"-0.74372500000000000000","1.8454666666666667","0.6310","3.5130","543333.00","null","434778.00",2,5,"Bot","null","null",,,518595,,"151028_205023","4.4050","-138.9690","-3.5190","-8.5360","33.9460","-9.8750","3.4900","1.5900","323","88.1","26.1070","95.2040","2418","6.5140",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.9857","null","null","null","null","null","null","null",42,"5","4-Seam Fastball",3,1,3,1,1,3,3,1,"Strategic","Standard"
"FF","2015-10-28","96.5","-0.6488","5.7378","Jacob deGrom",519058,594798,"null","ball",,,,,"11","null","W","L","R","KC","NYM","B","null","null",2,1,2015,"-0.64074166666666666667","1.6333333333333333","-0.5110","4.4070","543333.00","null","434778.00",2,5,"Bot","null","null",,,518595,,"151028_204957","1.7490","-140.4360","-0.8880","-7.2690","34.1630","-12.2940","3.4900","1.5900","null","null","null","95.9390","2356","6.3470",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.1528","null","null","null","null","null","null","null",42,"4","4-Seam Fastball",3,1,3,1,1,3,3,1,"Strategic","Standard"
"FF","2015-10-28","96.7","-0.5427","5.6780","Jacob deGrom",519058,594798,"null","foul",,,,,"8","null","W","L","R","KC","NYM","S","null","null",2,0,2015,"-0.87871666666666666667","1.9601333333333333","0.2340","2.0540","543333.00","null","434778.00",2,5,"Bot","null","null",,,518595,,"151028_204928","3.8250","-140.4800","-7.8580","-10.7040","33.3580","-7.6960","3.4900","1.5900","null","null","null","95.9870","2402","6.3740",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"54.1262","null","null","null","null","null","null","null",42,"3","4-Seam Fastball",3,1,3,1,1,3,3,1,"Strategic","Standard"
"FF","2015-10-28","97.3","-0.6141","5.6002","Jacob deGrom",519058,594798,"null","ball",,,,,"12","null","W","L","R","KC","NYM","B","null","null",1,0,2015,"-0.82026666666666666667","1.9759000000000000","0.8780","2.8650","543333.00","null","434778.00",2,5,"Bot","null","null",,,518595,,"151028_204902","5.5560","-141.5020","-5.8080","-9.9950","34.2400","-7.1350","3.4900","1.5900","null","null","null","96.9470","2498","6.5150",446274,594798,518595,446263,502517,431151,527038,493316,501571,434158,"53.9847","null","null","null","null","null","null","null",42,"2","4-Seam Fastball",3,1,3,1,1,3,3,1,"Strategic","Standard"
