"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2015-10-04","94.6","-0.9236","5.6504","Jacob deGrom",519208,594798,"field_out","hit_into_play",,,,,"2","Clint Robinson grounds out, first baseman Lucas Duda to pitcher Jacob deGrom.","R","L","R","NYM","WSH","X",3,"ground_ball",1,1,2015,"-1.05267500000000000000","1.4670666666666667","-0.1620","3.5290","null","null","null",2,4,"Top","151.16","168.72",,,518595,,"151004_160955","4.0010","-137.6910","-2.7780","-12.4490","36.8330","-15.5050","3.8400","1.8000","8","90.7","-28.1920","94.0770","2182","6.5290",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.9711","0.095","0.085","0.00",1,0,0,2,25,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"CH","2015-10-04","85.6","-1.0498","5.4615","Jacob deGrom",519208,594798,"null","ball",,,,,"14","null","R","L","R","NYM","WSH","B","null","null",0,1,2015,"-1.5731583333333333","0.76616666666666666667","0.3520","1.3440","null","null","null",2,4,"Top","null","null",,,518595,,"151004_160942","6.1570","-124.3630","-4.5600","-15.8070","31.1420","-26.0760","3.8800","1.8000","null","null","null","85.5770","1873","7.0790",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.4215","null","null","null","null","null","null","null",25,"2","Changeup",0,0,0,0,0,0,0,0,"Strategic","Standard"
"CH","2015-10-04","85.9","-1.0272","5.4986","Jacob deGrom",519208,594798,"null","swinging_strike",,,,,"13","null","R","L","R","NYM","WSH","S","null","null",0,0,2015,"-1.7888666666666667","0.24013333333333333333","-0.4990","1.0590","null","null","null",2,4,"Top","null","null",,,518595,,"151004_160926","4.5650","-124.9490","-4.2360","-18.1880","33.3490","-31.6660","3.8400","1.8000","null","null","null","85.7150","1908","7.1310",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.3688","null","null","null","null","null","null","null",25,"1","Changeup",0,0,0,0,0,0,0,0,"Strategic","Standard"
"CH","2015-10-04","84.7","-0.9188","5.5730","Jacob deGrom",150029,594798,"strikeout","swinging_strike",,,,,"2","Jayson Werth strikes out swinging.","R","R","R","NYM","WSH","S",2,"null",2,2,2015,"-0.98726666666666666667","0.71313333333333333333","-0.1310","3.1830","null","null","null",1,4,"Top","null","null",,,518595,,"151004_160856","3.3800","-123.3420","-0.3890","-9.0420","35.3680","-26.8400","3.6400","1.6700","null","null","null","83.6550","1802","6.7070",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.7930","null","null","0.00",1,0,0,"null",24,"5","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2015-10-04","95.1","-1.0515","5.6049","Jacob deGrom",150029,594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",1,2,2015,"-0.77295000000000000000","1.7379666666666667","0.6150","1.2320","null","null","null",1,4,"Top","null","null",,,518595,,"151004_160841","5.4260","-137.9940","-9.1210","-8.6960","37.3940","-11.8930","3.6800","1.5900","null","null","null","94.2840","2335","6.6060",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.8935","null","null","null","null","null","null","null",24,"4","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2015-10-04","86.3","-0.9418","5.6610","Jacob deGrom",150029,594798,"null","swinging_strike",,,,,"9","null","R","R","R","NYM","WSH","S","null","null",1,1,2015,"-0.50296666666666666667","1.3151333333333333","0.6440","1.9600","null","null","null",1,4,"Top","null","null",,,518595,,"151004_160821","4.2630","-125.5810","-4.7500","-4.1430","32.7420","-20.0600","3.6400","1.6700","null","null","null","86.1740","1747","7.0380",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.4618","null","null","null","null","null","null","null",24,"3","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2015-10-04","81.3","-1.0554","5.6606","Jacob deGrom",150029,594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",0,1,2015,"0.54495833333333333333","0.02656666666666666667","1.7310","1.6550","null","null","null",1,4,"Top","null","null",,,518595,,"151004_160808","4.5390","-118.3100","-2.1970","6.8110","24.5640","-33.7970","3.5400","1.6700","null","null","null","80.8460","2540","6.3560",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"54.1438","null","null","null","null","null","null","null",24,"2","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2015-10-04","82.0","-0.9695","5.7224","Jacob deGrom",150029,594798,"null","swinging_strike",,,,,"9","null","R","R","R","NYM","WSH","S","null","null",0,0,2015,"0.66881666666666666667","-0.23000000000000000000","0.6650","2.0200","null","null","null",1,4,"Top","null","null",,,518595,,"151004_160756","1.5810","-119.4290","-1.0450","8.1270","27.2060","-36.3500","3.6400","1.6700","null","null","null","81.0550","2453","6.2610",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"54.2395","null","null","null","null","null","null","null",24,"1","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2015-10-04","86.5","-0.9620","5.5032","Jacob deGrom",547180,594798,"field_out","hit_into_play",,,,,"13","Bryce Harper grounds out sharply, shortstop Ruben Tejada to first baseman Lucas Duda.","R","L","R","NYM","WSH","X",6,"ground_ball",1,2,2015,"-0.85505833333333333333","0.48666666666666666667","-1.0390","2.2720","null","null","null",0,4,"Top","115.63","152.97",,,518595,,"151004_160718","1.1400","-125.9770","-2.2230","-8.1780","31.0670","-28.9560","3.1900","1.4600","120","95.9","2.9430","87.3460","1717","7.5110",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"52.9886","0.525","0.494","0.00",1,0,0,4,23,"5","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2015-10-04","95.4","-1.1472","5.6336","Jacob deGrom",547180,594798,"null","foul",,,,,"2","null","R","L","R","NYM","WSH","S","null","null",1,2,2015,"-0.52105833333333333333","1.4613333333333333","-0.0730","3.3050","null","null","null",0,4,"Top","null","null",,,518595,,"151004_160658","3.3100","-138.7560","-3.2700","-5.3940","35.6940","-15.2280","3.1900","1.4600","null","null","null","95.0000","2261","6.6040",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.8964","null","null","null","null","null","null","null",23,"4","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
