"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2017-09-24","94.8","-0.9395","5.3621","Jacob deGrom",435062,594798,"strikeout","foul_tip",,,,,"6","Howie Kendrick strikes out on a foul tip.  ","R","R","R","NYM","WSH","S",2,"null",3,2,2017,"-0.5239","1.3442","0.4936","2.4552","null","null","null",2,6,"Top","null","null",,,518595,,"170924_185138","5.0180","-137.8107","-5.0912","-7.9564","29.6119","-13.5997","3.1713","1.2125","null","null","null","96.3210","2287","7.1320",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3674","null","null","0.00",1,0,0,"null",41,"6","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Strategic"
"SL","2017-09-24","88.4","-1.1499","5.3476","Jacob deGrom","null",594798,"null","foul",,,,,"2","null","R","R","R","NYM","WSH","S","null","null",3,1,2017,"-0.0902","0.4028","0.0189","2.9245","null","null","null",2,6,"Top","null","null",,,518595,,"170924_185118","3.0691","-128.6809","-0.7347","-1.6151","24.7888","-27.6376","3.1713","1.2125","null","null","null","89.5460","2525","6.8090",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.6903","null","null","null","null","null","null","null",41,"5","Slider",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2017-09-24","92.2","-1.0838","5.4599","Jacob deGrom","null",594798,"null","called_strike",,,,,"2","null","R","R","R","NYM","WSH","S","null","null",3,0,2017,"-1.2967","1.2092","-0.1787","2.8000","null","null","null",2,6,"Top","null","null",,,518595,,"170924_185102","5.2612","-134.0319","-3.6691","-17.1925","29.0665","-16.5840","3.2237","1.4833","null","null","null","93.5200","2259","7.1220",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3776","null","null","null","null","null","null","null",41,"4","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Strategic"
"SL","2017-09-24","89.3","-1.2905","5.3561","Jacob deGrom","null",594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",2,0,2017,"0.2490","0.3691","1.1085","1.5167","null","null","null",2,6,"Top","null","null",,,518595,,"170924_185044","5.4599","-129.9421","-4.3535","1.8677","25.0964","-27.1595","3.2817","1.4997","null","null","null","91.0800","2506","7.1870",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3130","null","null","null","null","null","null","null",41,"3","Slider",1,3,3,1,3,1,3,1,"Standard","Strategic"
"SL","2017-09-24","89.3","-1.2604","5.3414","Jacob deGrom","null",594798,"null","ball",,,,,"9","null","R","R","R","NYM","WSH","B","null","null",1,0,2017,"0.1226","0.5970","0.7084","1.6714","null","null","null",2,6,"Top","null","null",,,518595,,"170924_185029","4.6717","-130.0787","-4.4774","0.5818","24.1649","-24.4292","3.2605","1.5500","null","null","null","91.4490","2469","7.2680",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.2312","null","null","null","null","null","null","null",41,"2","Slider",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2017-09-24","94.0","-1.1176","5.1831","Jacob deGrom","null",594798,"null","ball",,,,,"11","null","R","R","R","NYM","WSH","B","null","null",0,0,2017,"-0.9648","1.0472","-0.0974","3.6022","null","null","null",2,6,"Top","null","null",,,518595,,"170924_185013","4.9458","-136.9212","-0.8502","-13.6329","27.5944","-18.4367","3.2028","1.4625","null","null","null","96.2320","2182","7.3130",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.1867","null","null","null","null","null","null","null",41,"1","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"CH","2017-09-24","87.6","-1.1108","5.2469","Jacob deGrom",543685,594798,"field_out","hit_into_play",,,,,"4","Anthony Rendon flies out to left fielder Brandon Nimmo.  ","R","R","R","NYM","WSH","X",7,"fly_ball",0,1,2017,"-1.1906","0.4613","-0.3774","2.3916","null","null","null",1,6,"Top","91.32","93.82",,,518595,,"170924_184936","4.4364","-127.6643","-1.8853","-14.4963","23.1399","-26.6623","3.1512","1.2528","null","89.2","39.2990","90.1930","1660","7.5230",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"52.9766","0.013","0.017","0.00",1,0,0,3,40,"2","Changeup",1,3,3,1,3,1,3,1,"Standard","Standard"
"SL","2017-09-24","88.4","-1.1831","5.3167","Jacob deGrom","null",594798,"null","called_strike",,,,,"2","null","R","R","R","NYM","WSH","S","null","null",0,0,2017,"-0.0663","0.3811","0.2510","2.9697","null","null","null",1,6,"Top","null","null",,,518595,,"170924_184919","3.6800","-128.7750","-0.5696","-1.3949","22.1450","-27.8531","3.3069","1.6069","null","null","null","90.1090","2367","6.8890",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.6102","null","null","null","null","null","null","null",40,"1","Slider",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2017-09-24","94.0","-1.3074","5.2609","Jacob deGrom",502517,594798,"field_out","hit_into_play",,,,,"11","Daniel Murphy pops out to third baseman Phillip Evans in foul territory.  ","R","L","R","NYM","WSH","X",5,"popup",2,1,2017,"-1.0470","1.2615","-0.0439","3.4938","null","null","null",0,6,"Top","95.38","188.40",,,518595,,"170924_184826","5.6648","-136.6793","-1.7332","-14.5538","28.2104","-15.8699","3.0808","1.3231","67","76.3","79.7030","95.0270","2325","6.7790",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.7207","0.000","0.000","0.00",1,0,0,3,39,"4","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2017-09-24","94.3","-1.1536","5.0980","Jacob deGrom","null",594798,"null","foul",,,,,"3","null","R","L","R","NYM","WSH","S","null","null",2,0,2017,"-1.0431","0.8702","0.2950","2.5981","null","null","null",0,6,"Top","null","null",,,518595,,"170924_184805","6.2880","-137.3231","-2.9312","-15.0171","26.7804","-20.2407","3.0808","1.3231","168","63.0","39.8546","96.6970","2286","7.3450",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.1548","null","null","null","null","null","null","null",39,"3","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
